user, protocol, ipaddress, datetime, eventlength
cactiuser,ssh:notty,35.156.47.134,2017-03-19 01:38:00,00:00
cactiuser,ssh:notty,35.156.47.134,2017-03-19 01:37:00,00:00
its,ssh:notty,35.156.47.134,2017-03-19 01:35:00,00:00
its,ssh:notty,35.156.47.134,2017-03-19 01:33:00,00:00
its,ssh:notty,35.156.47.134,2017-03-19 01:32:00,00:00
its,ssh:notty,35.156.47.134,2017-03-19 01:30:00,00:00
wayne,ssh:notty,35.156.47.134,2017-03-19 01:29:00,00:00
wayne,ssh:notty,35.156.47.134,2017-03-19 01:27:00,00:00
wayne,ssh:notty,35.156.47.134,2017-03-19 01:25:00,00:00
wayne,ssh:notty,35.156.47.134,2017-03-19 01:24:00,00:00
ace,ssh:notty,35.156.47.134,2017-03-19 01:22:00,00:00
ace,ssh:notty,35.156.47.134,2017-03-19 01:21:00,00:00
ace,ssh:notty,35.156.47.134,2017-03-19 01:19:00,00:00
ace,ssh:notty,35.156.47.134,2017-03-19 01:18:00,00:00
dummy,ssh:notty,35.156.47.134,2017-03-19 01:16:00,00:00
dummy,ssh:notty,35.156.47.134,2017-03-19 01:15:00,00:00
dummy,ssh:notty,35.156.47.134,2017-03-19 01:13:00,00:00
dummy,ssh:notty,35.156.47.134,2017-03-19 01:12:00,00:00
sysadmin,ssh:notty,35.156.47.134,2017-03-19 01:10:00,00:00
sysadmin,ssh:notty,35.156.47.134,2017-03-19 01:09:00,00:00
sysadmin,ssh:notty,35.156.47.134,2017-03-19 01:07:00,00:00
sysadmin,ssh:notty,35.156.47.134,2017-03-19 01:06:00,00:00
ftptest,ssh:notty,35.156.47.134,2017-03-19 01:04:00,00:00
ftptest,ssh:notty,35.156.47.134,2017-03-19 01:03:00,00:00
ftptest,ssh:notty,35.156.47.134,2017-03-19 01:01:00,00:00
ftptest,ssh:notty,35.156.47.134,2017-03-19 01:00:00,00:00
applprod,ssh:notty,35.156.47.134,2017-03-19 00:58:00,00:00
applprod,ssh:notty,35.156.47.134,2017-03-19 00:57:00,00:00
applprod,ssh:notty,35.156.47.134,2017-03-19 00:56:00,00:00
applprod,ssh:notty,35.156.47.134,2017-03-19 00:54:00,00:00
db2inst1,ssh:notty,35.156.47.134,2017-03-19 00:53:00,00:00
db2inst1,ssh:notty,35.156.47.134,2017-03-19 00:51:00,00:00
db2inst1,ssh:notty,35.156.47.134,2017-03-19 00:50:00,00:00
db2inst1,ssh:notty,35.156.47.134,2017-03-19 00:48:00,00:00
support,ssh:notty,190.174.59.40,2017-03-19 00:48:00,00:00
bwadmin,ssh:notty,35.156.47.134,2017-03-19 00:47:00,00:00
bwadmin,ssh:notty,35.156.47.134,2017-03-19 00:45:00,00:00
bwadmin,ssh:notty,35.156.47.134,2017-03-19 00:44:00,00:00
